option,bin,e_lo_keV,e_hi_keV,Water,Fat,SoftTissue,HA,Iodine,Iron,Titanium,StainlessSteel,CoCr,Tantalum,Platinum,Gold
1,1,20,40,0.432347085203016,0.341269896555466,0.436348062240912,2.60623195684528,18.2884734418826,10.1058765060421,6.18551612027759,9.88755330147886,10.1972352317983,26.347012006592,31.7173008175221,33.0372198663444
1,2,40,56,0.236355059686343,0.21845064322983,0.235966981155806,0.671687362230123,14.3238668064911,2.30535536691462,1.42283821297419,2.2562431437416,2.32847206272786,6.6537357786057,8.08864684143458,8.43735817974148
1,3,56,75,0.199373394170428,0.19227941283809,0.19821021203892,0.359873414728102,6.20558892199493,1.003489317181,0.648881310093202,0.983504660828921,1.01199792052709,6.13095409757688,3.58800749308155,3.74480025215972
1,4,75,140,0.168169410841044,0.166269379231719,0.166785819772327,0.200244218524137,1.88708676696819,0.369347729651368,0.270990307626361,0.363526360693481,0.370510171545307,4.13315045304503,4.40349364702487,4.3131495542134
2,1,20,52,0.361173484225574,0.2967873181674,0.363582102798454,1.90195291412661,17.3349701064913,7.26900321046251,4.45222325766592,7.11216685317704,7.33573122218002,19.2067694464657,23.1538012701939,24.1220672318879
2,2,52,75,0.202572424357584,0.194640128232605,0.201469556149513,0.384640852793975,6.8755863298602,1.10701801574593,0.710145087325938,1.08470476421209,1.11673144033542,5.88137076743772,3.95716864815927,4.12987797394369
2,3,75,82,0.185071162254535,0.181149428764977,0.183735333610357,0.267138001887797,3.70468833608256,0.62591942889661,0.424136282696406,0.614393001018342,0.630162944235322,7.99225040787567,5.6154419807894,3.5076570754253
2,4,82,140,0.166129544244243,0.164473511145836,0.16474018874421,0.192170830585051,1.66772104963496,0.338382178412224,0.252507171964884,0.333249351080431,0.339172766593078,3.66739698725804,4.25722399812987,4.41036416002095
3,1,20,55,0.348973052894742,0.289057934111514,0.351107417381619,1.78276884755498,16.7320311041509,6.78628683914156,4.158376475681,6.63995914975132,6.8486566433025,17.9723965676072,21.6701452886437,22.577196554878
3,2,55,72,0.201940896627607,0.194238852026692,0.200819385295122,0.378124188341198,6.70690647214162,1.07942602251591,0.693771392660303,1.0577269888011,1.0888163585101,5.44183119466672,3.86436981718336,4.03306200897674
3,3,72,90,0.183328933820085,0.179644538786989,0.181981223348867,0.259108348667509,3.46730676352377,0.593228563713172,0.40502063425646,0.582447020688277,0.597045270094724,7.49747771491609,5.86426463049503,5.19425099899601
3,4,90,140,0.164015121373554,0.162574738208376,0.162623083999671,0.184722722585787,1.46936295857867,0.310574489551087,0.23582380054478,0.30605575469334,0.311034175518441,3.24086641640552,3.76914943778684,3.89975232005637
