material,energy_keV,mu_rho_cm2_g,edge_side
Water,15.0,1.67268,
Water,20.0,0.809645,
Water,30.0,0.375561,
Water,40.0,0.268268,
Water,50.0,0.226885,
Water,60.0,0.205839,
Water,80.0,0.183611,
Water,100.0,0.170687,
Water,150.0,0.150534,
Water,200.0,0.137038,
Fat,15.0,1.082649,
Fat,20.0,0.567765,
Fat,30.0,0.306366,
Fat,40.0,0.239532,
Fat,50.0,0.212302,
Fat,60.0,0.197352,
Fat,80.0,0.180019,
Fat,100.0,0.168852,
Fat,150.0,0.149987,
Fat,200.0,0.136813,
SoftTissue,15.0,1.699548,
SoftTissue,20.0,0.822953,
SoftTissue,30.0,0.378996,
SoftTissue,40.0,0.268797,
SoftTissue,50.0,0.226344,
SoftTissue,60.0,0.204813,
SoftTissue,80.0,0.182273,
SoftTissue,100.0,0.169284,
SoftTissue,150.0,0.14918,
SoftTissue,200.0,0.135777,
HA,15.0,14.939217,
HA,20.0,6.55995,
HA,30.0,2.099585,
HA,40.0,0.987657,
HA,50.0,0.586463,
HA,60.0,0.406703,
HA,80.0,0.258956,
HA,100.0,0.201886,
HA,150.0,0.15016,
HA,200.0,0.129725,
Iodine,15.0,55.12,
Iodine,20.0,25.43,
Iodine,30.0,8.561,
Iodine,33.1694,6.553,below
Iodine,33.1694,35.82,above
Iodine,40.0,22.1,
Iodine,50.0,12.32,
Iodine,60.0,7.579,
Iodine,80.0,3.51,
Iodine,100.0,1.942,
Iodine,150.0,0.6978,
Iodine,200.0,0.3663,
Iron,15.0,57.08,
Iron,20.0,25.68,
Iron,30.0,8.176,
Iron,40.0,3.629,
Iron,50.0,1.958,
Iron,60.0,1.205,
Iron,80.0,0.5952,
Iron,100.0,0.3717,
Iron,150.0,0.1964,
Iron,200.0,0.146,
Titanium,15.0,35.87,
Titanium,20.0,15.85,
Titanium,30.0,4.972,
Titanium,40.0,2.214,
Titanium,50.0,1.213,
Titanium,60.0,0.7661,
Titanium,80.0,0.4052,
Titanium,100.0,0.2721,
Titanium,150.0,0.1649,
Titanium,200.0,0.1314,
Tantalum,15.0,134.0,
Tantalum,20.0,63.34,
Tantalum,30.0,21.87,
Tantalum,40.0,10.25,
Tantalum,50.0,5.717,
Tantalum,60.0,3.569,
Tantalum,67.4164,2.652,below
Tantalum,67.4164,11.8,above
Tantalum,80.0,7.587,
Tantalum,100.0,4.302,
Tantalum,150.0,1.531,
Tantalum,200.0,0.7598,
Platinum,15.0,157.8,
Platinum,20.0,75.74,
Platinum,30.0,26.41,
Platinum,40.0,12.45,
Platinum,50.0,6.954,
Platinum,60.0,4.339,
Platinum,78.3948,2.203,below
Platinum,78.3948,9.301,above
Platinum,80.0,8.731,
Platinum,100.0,4.993,
Platinum,150.0,1.795,
Platinum,200.0,0.8896,
Gold,15.0,163.7,
Gold,20.0,78.83,
Gold,30.0,27.52,
Gold,40.0,12.98,
Gold,50.0,7.256,
Gold,60.0,4.528,
Gold,80.0,2.185,
Gold,80.7249,2.137,below
Gold,80.7249,8.904,above
Gold,100.0,5.158,
Gold,150.0,1.86,
Gold,200.0,0.9214,
